season,player_code,player_name,minutes,goals,assists,appearances,starts,xg,xa
2016-17,145078,Marc Bartra,0,0.0,3.0,19.0,18.0,0.0,0.0
2016-17,175888,Marc Stendera,0,0.0,0.0,2.0,2.0,0.0,0.0
2016-17,175887,Marc-Oliver Kempf,0,0.0,0.0,13.0,12.0,0.0,0.0
2016-17,181287,Marcel Halstenberg,0,0.0,1.0,30.0,30.0,0.0,0.0
2016-17,234125,Marcel Hartel,0,0.0,0.0,2.0,0.0,0.0,0.0
2016-17,93700,Marcel Heller,0,3.0,3.0,32.0,31.0,0.0,0.0
2016-17,110929,Marcel Risse,0,2.0,4.0,13.0,13.0,0.0,0.0
2016-17,173907,Marcel Sabitzer,0,8.0,4.0,32.0,31.0,0.0,0.0
2016-17,121536,Marcel Schmelzer,0,0.0,1.0,26.0,25.0,0.0,0.0
2016-17,191942,Marcel Tisserand,0,0.0,1.0,28.0,27.0,0.0,0.0
2016-17,120884,Marco Fabián,0,7.0,4.0,24.0,23.0,0.0,0.0
2016-17,232477,Marco Friedl,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,143413,Marco Höger,0,0.0,1.0,30.0,24.0,0.0,0.0
2016-17,122356,Marco Reus,0,7.0,4.0,17.0,16.0,0.0,0.0
2016-17,84780,Marco Russ,0,0.0,0.0,4.0,3.0,0.0,0.0
2016-17,205812,Marco Schuster,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,123712,Marco Terrazzino,0,1.0,2.0,9.0,4.0,0.0,0.0
2016-17,154201,Marcus Mlynikowski,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,188384,Marian Sarr,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,228328,Marin Sverko,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,42015,Mario Gómez,0,16.0,1.0,33.0,32.0,0.0,0.0
2016-17,143020,Mario Götze,0,1.0,1.0,11.0,9.0,0.0,0.0
2016-17,161459,Mario Vrancic,0,4.0,2.0,23.0,18.0,0.0,0.0
2016-17,172005,Marius Müller,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-17,207623,Marius Wolf,0,0.0,0.0,3.0,2.0,0.0,0.0
2016-17,149391,Mark Uth,0,7.0,3.0,22.0,12.0,0.0,0.0
2016-17,84710,Markus Feulner,0,0.0,0.0,1.0,0.0,0.0,0.0
